content,score
nice 👍,5
Everything is good but there on the status 2x should come,5
is good,5
very poor 👎and very slowly speed 😱🤯😰,1
I want suitable security protect so that nobody can hack it,5
great app overall,5
Super,4
Can't put the app on my phone...followed the instructions and nothing happens,1
"Hello WhatsApp Support Team, I hope you are doing well. My phone number has been banned, and I believe this may have happened by mistake. I use WhatsApp only for personal communication with friends, family, and work-related contacts, and I do not intentionally violate any of the platform’s policies. If any of my recent activity unintentionally went against the guidelines, I sincerely apologize. I was not aware that it could cause an issue. I assure you that I will strictly follow WhatsApp’s te",1
karena bangus banget jadi bisa wa keluarga jauh sama temen jauh,5
Good Excellent,5
it kicked me out without a reason,1
ok,1
Nice app,5
very good 👍,5
open the what's app for pls h,5
i hate and need it at the same time,5
I change my mobile but this app is not working should I know please why this happened?,5
Too many errors,2
best app so far,5
"accellent, but my phone a some after days spam WhatsApp.",3
Yas,5
nice app,5
"good and easy to use,even good on downloading",5
Excellent,5
Nice app,5
this app is good,5
Use whatsappppppp,5
voice was not recorded and video call was no voice,2
Good,1
Emi goro,5
why is whatsapp going to be banned from Android phone in September 8,1
WhatsApp is the best,5
🤐🤐🤐,5
Top one world used app for communication one of the legends in chatting apps,5
this app is the best,5
Good,1
love you,5
very nice,5
Excellent,5
Backup system fails should use telegram type could base system,3
good,5
it's nice and very reliable,5
nice,5
my number been ban,3
❤️❤️😁🥰🥰🥰🥰 words can properly explain 😄,5
"jelekkk sering bug kocak, kalo pas telpon sering gak ada suaranya, belum lagi notif suka gak masuk",1
nice,5
good,5
very nice you love it,5
whatsapp is the best application of play store,5
very nice,5
I mistakenly put the wrong birthday date and u guys deactivated my app now u ppl said I should go to Facebook I went to facebook nothing and now I can't open my WhatsApp u ppl should bring back my account ooh.,1
Sumasang ayon po,5
the WhatsApp app is very powerful and easy,5
New privacy policy - -,5
bestttt,5
while putting @ and tagging whatsapp is crashing,1
"it will never give me problems and told me I don't follow there terms and service, the app is fake",5
"great app and easy to use. you go places and visit friends and make families stay easily connected while being away. It is so coolest thing to viode call your family, friends and your contact.",1
🤑🤑,4
i need help but you are not help,2
support,1
it's actually good but is not working for me,5
excellent,5
osm.,5
web whatsapp is not connecting on my tab,1
very nice 👌,4
Had a challenges on log in with my email,4
"Some contacts that I've blocked aren't staying blocked. Once that's fixed, I'll rate it 5 stars.",4
very nice,5
it is restricted due to age violations however I am 18+,2
အပေးအယူကောင်းတယ်,5
"Dear WhatsApp Team, My account has been banned and is showing the message: ""This account can no longer use WhatsApp."" I believe this may have happened by mistake. I always try to follow WhatsApp's policies and guidelines properly. Kindly review my account and give me one more chance to use WhatsApp. I really need it for personal and important communication. Thank you for your time and support. A",5
good app,5
Not good,5
good,5
"I use this app as usual, if I create a group, invite participants, it is indeed a work requirement, I don't feel like I'm doing anything detrimental, but suddenly my WhatsApp is restricted, then suddenly yesterday it had to be reviewed. Can't there be a confirmation or notification beforehand if I've done too much activity using this WhatsApp? The admin number I have, even those using WhatsApp Business, is missing this issue. Please inform me about the fair use limits, thank you.",3
Telling me to download official whatsapp,5
👍,1
so lovely and have good service,5
I like the,5
it's good but its kinda sad because everytime I upload status it's blur,3
my experience about these app this the best Very fast and reliable making voice call and videos with my other family out the country very fast I love WhatsApp,5
U dey try oo,4
"l make calls to my friends and family the app is amazing since lm so far away from them,just great!!!!",5
good app,5
"good, plenty to explain£7.99 per month I understand very reasonable",5
good,5
good,5
awesome,4
cannot reply to someone status with a voice note,3
"why do they always tell me to download the official WhatsApp app when I try to log in to my account, if this is the official WhatsApp app",1
I like this app,5
WathAapp.inc is to personas enjoy en continued conected white cotection..,5
meta is mu frd,5
"Está llena de bugs molestos, solo la uso para no perder contacto con algunas personas",1
It refuse to download on my phone,1
"WhatsApp is naturally essential to operate with through communication and it helps by making call,massages, voice note and video calls to one another, it's easily to communication.",5
It's faster and helpful I always use WhatsApp for communicating with my friend in the other countries,5
I like Whatsapp,5
very bad response i am in trouble for few month but whatsap help center can't help me,1
"It's cool,but now it's starting to ban people",5
This app is very good I love it,5
it's okay it's chilled out nje,5
The best app ever made in history,5
good,1
the best charting app so far,5
I want open what's app,2
Translation is not correct from Polish to English,3
I want it deleted no,1
This app is cul try and see 4 ur self,5
WhatsApp just ban my account I don't know what I did wrong,1
Excellent service,5
"I can't post on my staus,view status and I can't send voice note and listen to voice note",2
Chatting with friends,5
I deeply love it,5
every good App,5
best app ever,5
"for some reason, i cant call anyone on whatsapp. it rings and shows their picture, but the call itself wont go through (and yes whatsapp guys, i have the person as a contact on my phone). fix this immediately please, as i have no way to call my family if i get into an emergency",2
not worked subsistence farmers at home.,5
good,5
it's wonderful I love using it. no issues. five star ⭐⭐⭐⭐⭐ well deserved.,5
the best ever!,5
Whatsapp message is the best app sofer,5
best,5
best app thus far you can even make a video call I love this app,5
Good good,4
nice,2
Why did WhatsApp keep stopping on my phone,1
Good,4
Not bad,5
"I like the latest updates lately. As for the coming version, allow us to see how many times a person would have opened my disappearing status within the 24 hours of its post",4
Good.,3
My favourite messaging app. Have used it for years,5
prefer this than business what's app,5
kilakitu kinaenda nawakati,1
good,5
amazing 🥰,5
"I want the ""about"" to be permanent? Why did u turn this off? Why I hav to update the bio every week?? u should give us the freedom to choose whether we want it to be permanent or to be self updated, don't force something we don't want !!!?",3
The best app for emergency messages and steady video call quality 👍,5
I like it,5
bad,1
it's very good app and messages to are sent fast and smooth,4
WhatsApp is very great but my META AI is always lagging for me,2
wow kudos to Whatsapp,5
Secure communication,4
Very good,5
Update my WhatsApp,5
this app is good in all aspects expect that it does reduce the quality of pictures to a very low rate,4
why is there no sound when I'm screensharing for the opposite person on the call This is very frustrating as we use it to watch videos together Is there any way to fix this ASAP. Thank you in advance kind Regards.,1
just downloaded it but the hacker won't let me complete the download,4
so excellent,5
I'm like to this app,5
Very good,5
It is basically the best communication app I've ever used since four years ago. I liked to create stickers and statuses for my family on my contacts. I can definitely texted myself to avoid accidentally texting somebody else so awkwardly. The only thing I dislike was when a random stranger called my number unexpectedly and I had to block him/her. I would recommend this app to anyone who wants to connect family And friends instantly,5
تحفهههههههههههه 😍😍,5
wow I love this app 💞❤️,5
good,4
"Sir my whatsaap ban from last 10 days,please activate this again",1
i got my acount reviewed fir no reason,1
Poor so far,1
the best app,5
Network sometimes problem Yes,5
Trust,3
it's the best app ever but put the ability of people to view the view once pics and have the ability of editing them,4
Does this app have Voice messaging,2
very grateful,5
good,5
good,5
bans people for no reason.Whatsapp business is better,1
I like,5
clear calling and messages in a great way to wifi connect .,5
I want get back my WhatsApp,2
I want you to rectify my whatsApp,5
whatsapp is a very good,5
good but banning yoh,3
Omo 💔😭 it hurts though 😢,4
just a five star app,5
A great App.,5
bad,1
it is a bad version,1
right,5
I love this app it's fast easy and reliable you can share your daily life experience and it's also fun you can do video calls voice note and many more,5
brilliant hard works< into the future<,5
intha oththa app uh nalathan prachina Ellam,5
does not work properly fix it or I will report now👿😠😡,2
bad,1
great app,5
great,5
Useful app. Allows more people on video calls and supports screen sharing with presentations. Good job on regular improvements,5
👍,5
good,5
it as been so helpful to me and other people so keep it on,5
I love this app,5
Whatsapp is one of the best communication high way we've in this generation,5
"chats transfer feature doesn't work, does not take full backup. why can't it be like other meta apps with hassle free login",1
I enjoy it,5
"latest version forces me to watch YouTube links from messages in the embedded webview instead of opening the YouTube app on my phone. the embedded webview doesn't use my YT account and forces me to watch ads despite being a YT premium member. Update: and now YouTube thumbnails in sent messages display channel name instead of video title. But hey, your 10x engineers are writing code using AI now, right.",1
it has amazing features,5
Good experience,5
khul nahi Raha hai,5
Good but not so great. Zero privacy enhancement,2
Men this app is one of the best i really appericiate the developer,5
It is very excellent,5
i lost one of my whole chat in auto mode,1
Difficulty in connecting.,3
good 👍😊,5
all good,5
Whatsapp should do better and update their video quality I find it very hard to post my videos on WhatsApp because of its low quality .,1
I love the app,5
this is a great app for messaging. You should try it .,5
The app is doing well,5
Fair enough,5
very good,5
I prefer personaly the old whatsapp better and please can yall sort out the volume on the status as well its irritating us all coz our viewers cant hear the video sound,1
the app is cool,5
nice,5
request Appeal Here ✅👇 Dear WhatsApp team recently I am facing a problem to receive OTP I am trying to get verification code to login my WhatsApp but I didn't receive any code please fix this and unburn my account as soon as possible,1
very good,5
good,5
very Good,5
Late updates,5
It's awesome but you should create an option were you create your own AI with your own description on WhatsApp,4
best,5
puas hati,5
can't find my account,1
is very good to chat with friends,5
"Fun , communication and love",5
I like this app but I will rate a 4 because the updating give me problem sometimes but it is a very good app,4
my world,5
very nice,5
Great,4
it easy in communication,3
werry werry good,5
seems to work fine,4
My whatsapp is not working in my phone what is the issue,5
"WhatsApp is very effective and easy for chatting, but I give it 5 star if they don't waste time to add song on my status.",4
❤️❤️💕,4
awesome,5
I believe my acct had been hijacked by online scammers please do not delete any records until I give u my grandmother's last name thanks Evelyn Sandberg,1
🌹🌹,1
nixe,5
Very slow,1
best app ever,5
good,5
it's good to connect freinds,5
perfect,5
WhatsApp call me mere number per WhatsApp Nahin ban rahi,5
"Dear WhatsApp Support, I am writing to express my concern about the “Start chatting” contact suggestions feature in WhatsApp. This feature is not helpful for me and feels unnecessary. It takes up space and shows contacts I may not want quick access to. Currently, there is no option to disable or hide these suggestions, which limits user control over the interface. I kindly request that you add an option to turn off or customize this feature in future updates. Giving users more control over th",1
For me for my phone,3
I'm really pissed off the same problem to me also.. Not verifying either I've tried my account but still nothing changed... Please what is going on now,1
it is the best,5
the best,5
after using this app for more than 4 years it gave me no problem,5
Good,5
app is unofficial,2
u can post it is n.i.c.e,5
I've lost all my data while uninstalling and installing whatsapp application. my chats also deleted even after backing up and folders in my files also were deleted.,4
Good Good,5
look,5
very good app,5
Thanks Again,4
about update is very nonsense every month update your about is van function.,1
this is the best app ever,5
it's the best app for chatting and secretive for documentation,5
improve your ai ok,1
Dear Whatsapp team I am not using any unofficial what's app but still when I try to login what's app on my new Google pixel phone. it shows you need official what's app login problem please help me to fix it as possible thanks.,5
very good but am having issues with it now,5
😍😍,5
Why my what's App number was spammed,3
Estou usando sem nenhuma dificuldade. Nota 10!,5
not useful,1
this app tried alot,5
pls my watsapp account was banned how do I check if it's unbanned,1
Plese me dowlod,5
it is very good,5
man,4
WhatsApp actually is a cool app,1
Whatsapp crash problem 😠,3
I love WhatsApp message app he makes me to conet All My friend around the world,5
very good,5
Everything is excellent beside the fact that when post you high quality videos and pictures the quality get reduced,4
nice,5
Very nice,5
The channel thing is totally unnecessary.,5
cool when chatting and texting,5
Am having problem with official whatsapp Is this whatsapp not official,5
very helpful,4
I think this app is the best,1
exceptional,5
it's extremely well and extra ordinary,5
I was in deplorable condition when l could not be connected to outside world anymore,5
so sad the app used to be bugs and lags free Every new update comes with its just-too-obvious issues The debugging team are doing a bad job To be honest,2
what's app is very nice it help me to connect to my people both far and near,5
good 😊,5
it's the best communication app I have ever used,5
I liked it because I can talk to my family,5
good app,5
it is a very good app u all will like it,5
its cool I rated it 5 ⭐⭐⭐⭐⭐ IT'S AWESOME 😎😎👍😎😎👍,5
"Very exciting,improving my business and socializing.",5
Good,5
good very good,5
ډېر ښه خدمت وړاندي کوي ډير په زړه پوري,5
bad,1
Good,5
yar kitnnn bar bol da ha mra masla Ka Hal ho ja ya nh mri I'd ko unban Krn ha ya nh bta do nh krna to ma phr dusra number koi new la lo,4
it makes life better,5
lovely 😍🌹,5
Nice app,5
perfect,5
rubbishly awesome,5
Good 💯,1
good,5
good,5
wtasapp,1
over super......🎯,5
WhatsApp is the most important Appreciate App in the world,5
unable to switch my account easily,1
when I open the app I will unlock again after that again it's aks whatsapp lock after unlocking it's been stuck it the the app is not opening,1
ITS NOT LIKE WHAT IT WAS.DONT MAKE IT LIKE OTHER APPS PLZ,3
I need help for my number,2
Hey mare whats app ni bun re kay karu,5
"very nice easy to communicate with people and family this app is best and we can communicate with long distance people , family and friends its uesfull for everyone and best app",5
useful apk,5
very good,5
it is easy to use.,5
WhatsApp is wonderful I love it because is private,5
good,5
nice 👍,5
good app,5
i like meta feature in ai he is my friend coach guidance and all meta ai is so good 🌟🌟,5
I can't put status on WhatsApp from Instagram 😭😭😭,2
Useful App .. 👍,5
you should add scheduled messages like there is on IG we need that and improve your end to end encryption,3
I don't know why my WhatsApp is hacked am trying to logging in but it's not happening and when I opened my WhatsApp its asking code which I didn't asked for . and now after locking my WhatsApp its showing incorrect and am not able to open my WhatsApp .. what the he'll is happening. please help me or raise a query about this . I beg you,2
Good app,5
very good 😊😊,5
important feature suggestion: we already have ability to show profile picture to all *contacts* except a few BUT we need an option to show it for EVERYONE except a few. Sometimes we only need to hide it from a few people and not all potential interactions. please implement this,3
Good,5
The app updated version keeps shutting down automatically by itself when I open it.,1
nice nice,4
nice,5
It's great,5
"Hello Saurabh Sir, 🙏 💐 I'm regularly following the yoga sessions conducted by your team, and we truly appreciate your efforts. Thank you very much. Your Hindi explanations, along with the two versions of the sessions, are very helpful. We have also started practicing yoga regularly in the mornings. I would also like to ask after undergoing eye surgery, when would it be appropriate to begin counseling sessions? Kindly respond.Thank you Sir, all the members of your team. Sincerely, Nikhat",5
excellent,5
"not good at all, all my media images has disappeared including my second Whatsapp account",1
very amazing 😍🤩 app you are the best,5
Great,5
Whatsapp help alot during chatting it is a great app it is super convenient,5
excellent,5
the best,5
Whatsapp is an amazing app it makes communication better 💗😁 l love this app.,5
This app is helpful because you can talk to people that are far from you and hold meetings using a video conferencing I like it very much and it's private 💙💓,2
"WhatsApp has been so incredibly nice and beautiful and wonderful as I contact my business friends and relatives. Many features to my sights as I navigate it. Reliable and efficient to me. My friend always, whenever I need. Very helpful ever. Thank you!",5
Best,5
good,5
disturbing,5
Please remove start chatting!!!!!,1
ok,5
nice 👍🏻,5
nhi,5
thank you,5
Good luck,5
very goʻd,5
l want what open,1
since I downloaded it is telling me that waiting for this massege,1
what's app hood Khan,1
no help at all disappointed,1
Excellent app👌,5
ok,5
I can't live without this app.,5
the customer service is poor 😕,1
"There is a bug in WhatsApp. I receive message notifications in the notification bar, but the corresponding chat does not appear in the app. The chat only opens when I tap on the notification. Kindly resolve this issue.",1
okay,2
Very good,5
"Hello WhatsApp Team, I would like to request a feature for scheduling messages and status updates within the app. This would be very helpful for business users, professionals, and regular users who want to manage communication more efficiently. Please consider adding this feature in future updates. Thank you.",5
good,5
it is the best for me buh it does show reels that's why I didn't rate it 5,4
when working with semi different companies whatsapp messenger Instagram Facebook it allows for me to be able to one thing here but many things there if that make sense allows for everything to move at a higher pace an accomplishing the best that we were able to do.,5
"Thanks,this is probably the best communication platform.bravo mgt",3
I love it but it hard to update that's my only problem with WhatsApp messages,4
"Very useful and helpful! I love the phone call and vedio call option in whatsapp! which has really helped me a lot! Keep up the good spirit and fly high, the whatsapp team!! 👍📈💯",5
"I'm not happy at all, my number is being banned each and every day for God knows what reason",1
vgood,5
it's good 🙏,5
I love whatapp,5
working well,5
It's great,5
I like this app 😍😍😍,5
Whatsapp is a good app i love it,1
Irritating start the chat display in the message received area... We know to whom to chat. It's not tbe business of this WhatsApp chat to tell to chat by displaying the numbers.. STOP THAT,3
best,5
very good this application,5
team from last 6 to 7 days when I upload video states Tagging groups & upload status I did not lission my status voice this is which type of glitch please fix it ji,1
"Good,but i lost some of me lost chat",5
very good and useful 😊,4
Help I can't log into my WhatsApp account without it saying I should download from official site . If I send messages to multiple friends and families individually it will flag me as being a spam. Help. It keeps reviewing my account every time I open it,3
very good app,5
"Whatsapp makes it convenient for sending messages, voice mail and doing video calls. It doesn't accumulate data and it's one of the apps I use consistently",5
so helpful and good,5
These days it has ADS on the statuses.,1
"why is the ""😭"" crying emoji actually crying??? it's looks soo better on Android keyboard but on Whatsapp emoji keyboard it looks so cringey!",1
This application is very crazy,5
average,3
I can't log in to WhatsApp.,1
nice,4
Spectacular app,5
exceptional,5
Ok,3
Great to share videos & pics.,5
amazing 😍🤩🤩🤩😍,4
super,5
excellent,5
"Every now and than within a span of 4-5 days blocking the application for an update recently I had updated the app on 24th April and now blocking for an update, updated just now with 70MB got access to it doesn't now why it's happening getting frustrated.",2
IT'S OKAY,5
l love it so much,5
oky,5
This app is amazing,5
🄴🅇🄴🄻🄻🄴🄽🅃,5
v nice,5
"I now want to use this app in my new phone but it gives me hard time it's complicating, 😒",1
please am sorry I mistakenly deleted my account l want to restore it back thank yo,5
"Hi Team, My Phone Number has been Banned for Whatsapp by Mistake Could you Please Kindly fix the problem Thanks",5
Marvelous app,5
good app,5
disappearing message with custom time it will be more helpful to save storage full problem kindly work it on,1
It is very good app for communication and for sharing something,5
it can not be chat locked,1
The best ever,5
The App is the best among the others. Bravo !,5
good,5
goood,5
2nd consecutive voice message goes loud on S26 ultra,1
Very good,5
nice app,5
"100 out of 100. because, its very strong and carefull about their policy’s and rules or Regulation, if anyone violate them, their account would be baned temoporary.😊",5
Good,4
Should enhance privacy and extra safety,2
all Whatsapp Users Demand 1.Status Blur Problem 😩😞2.Profile Blur problem Solve a Net Update My request please accept.👍😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😞😩😞😞😞😞😞😞😞😞😞😔😔😔😔😔😔😔,5
ok,5
I love this app 💕💕💗💗🥰❤️😍💖💔,5
this app is surely user friendly and efficient as a tool of communication,5
i kind of like Whatsapp,5
They added ads when viewing people's statuses. Utterly abysmal. Poor move on the dev's part.,1
please meri WhatsApp band ho chuki hai use theek karo,4
better and better every time its so good,5
ok,3
Nice,5
I love whatsapp,5
your whatsapp so good and easy to manage,5
Good,4
nice,5
make problem.blocked suddenly.logged out suddenly even after review,1
وحش,5
nice 👍,5
good,4
Never reply through email and be helpful,5
Very nice app,5
The photo video quality is too low after status upload,1
nice,5
good thanks,5
this is the best app to communicate with friends and families all over the world am giving this app a five star,5
it's actually really good,3
good as every WhatsApp,4
Whatsapp says is full . Does it mean I can't have WhatsApp in My phone,1
is working fine,5
plz don't review my WhatsApp,3
Good,1
bakwas app and his feature,1
nice,5
"The clear chat option takes long time while there is no network issue or with updated version. Please check this out . In my opinion, the past one system was better.",2
good,5
the app is good,5
good 👍,5
बहुत सुंदर है बहुत बढ़िया है,5
Xilent 😘😘😘,3
everything that this app is created for his good,5
can't register WhatsApp,1
"The Google Play Store is a very good app. Whenever I download any app or game, it downloads quickly. It’s a really good app",1
best app,4
it is 👍 good and nice to enter,5
Very nice,5
good,2
is unique and good to chat with,3
good,5
worst I have had my number banned several times and them not being lifted I lost my so many important data aargh..I wish there was an option for negative star,1
"even in story whatsapp placed adds,they do not care about their users...they only care about money...i really do not understand..in future probably we will see reels in whatsapp because it creates addiction...i deleted whatsapp,i will use another chatting apps....guys please do not trust your time and enerjy this meta group...",1
it's okay I love this app🤍 but the problem is meta AI always gives me wrong answers😭,4
"Meta is making WhatsApp irritating to use after each update. suggestions, ai, pay, get everything into it and force user to use it. time to find alternatives.",1
very good app,4
good,5
it's a vibe 😌 ✨️ 😎 🙌 👌,5
umshubo lo🔥,5
good,5
best.do mich.,5
wow l just love it,4
bht ach,5
love it,5
I can open my file in my group charts,3
good,5
my experience with WhatsApp has always been good,5
good 👍,5
Bad,1
I'm still trying to update this WhatsApp!! Please I'm still trying to update my WhatsApp!!,5
𝑔𝑜𝑜𝑑,5
Nice & help pole app,5
good but I wanted to automatically get my crushes no.😭😭,4
👍👍👍👍👍,5
excellent app,5
good💯,5
The web app requires to be linked with the account really often and it doesn't keep the settings so every time I update it I need to adjust it again. I wish I could migrate my mother to telegram. WhatsApp sucks.,1
good,5
my WhatsApp needs to be updated,5
Great app,5
Ngam,5
super 👍,5
best app,5
Good,5
It's 150 over 100,5
"It's a lame app, my account is still getting banned I don't know what I'm doing wrong, they should indicate the crime u have done, instead they just ban it without the user knowing what he has done wrong",2
so help full,5
add the favourite or started option in updates section. so that we can sort the people status we like to watch,3
🔥,5
deberías implementar las subidas de audiovisual de mínimo 1080p a 2 min,5
lt is good and amazing,5
good to use,5
I use Whatsapp from long time its provide best services for human kind but I apologize for my first time misbehave and abused messaging. but I explained that I misbehaving the peoples how fraud with other peoples that people sell the items of hundreds thousands rupees they claim they'll supply these items in twenty or thirty thousand rupees which is impossible One a Man contact them they told send us half payment and after this they say send More amount and thus fraud is popular in Pakistan.,5
I love this app and very important,5
good,4
MMM no,3
what a great app to chat on,5
it is a very nice app,5
very bad,1
this app is very useful for me 🙂,5
It is fast and reliable.Easy to chat with friends,5
"̶An exceptionally good chat app,available when needwd,In all I love it. Now,know this it has problems thoe,like it won't send messages if network trip's just a little and can you make it possible that it be able to send VM's and messages while offline,,,that's all I have to say...thanks😁😎😾",5
Good,5
very good,5
Nice,5
Good app,5
very good 😊,5
excellent,5
❤️❤️,5
super,5
If is just awesome 😘,5
love this app.,5
I don't like the new update. when I post a picture and try to add a caption it's really annoying the new update changed it from what it used to be I don't really like it.,2
good,5
whatsapp is the best messenger a I love its work thanks to whoever created it and is updating I love yall 😍,5
good,4
nice,5
Group chat name is advance ever,5
Ahsas,5
wont let me log in?,1
good,5
out of work on pixel xl,1
"This file was sent in an unusual format that may indicate it is dangerous, corrupted, or otherwise not supported on WhatsApp. For security precautions, this file cannot be opened. please fix this",1
This app keeps on locking my account for no reason and it's for the second time this thing happens,1
"introducing lock chat is a great feature, no one can read and open chat of that person, but when we get call of that contact there is no privacy over there .. please add a feature ""when got call from lock chat contact"" there is some privacy there as well,... i have suggestion, when someone pick the call it cutted down, if cut then obviously cut, the call would connect only if the person type secret code in custom message button of call screen",5
This app it's too fast than others,5
I like Whatsapp because it makes me chatting with others who are abroad I really appreciate it,5
good,5
Best,5
new WhatsApp,2
good,5
extremely frustrating... have missed several messages as I do not have the app on auto update and unless you go in and periodically update this app you won't receive your messages. I use this for some of my business customers and twice now have missed messages from customers with no notification at all. I do not like that about this app at all.,2
nice,5
this is a important app.the WhatsApp is helpfuly app I rate this app 5 star,5
fast and cool,5
Good app,2
it's amazing,5
Wowww,5
Awesome,5
"Good Friends from different countries asking me to chat with them on WhatsApp, which some process was not allowing me to follow up , If this WhatsApp will accept me to chat with them",1
"all,tanku",5
ፍቅር#ሰላም,5
ma WhatsApp number anban please 🙏 😭 😢 😫 🙂 😩 🙏 send,1
very bed service,1
a very smooth and accurate one,5
am upcoming artist Ojo Vibez from kogi state this app is so fantastic,5
usefull app,5
is number per block hata do ringtone nahin hata agar koi baat bhula Dunga,5
Very. Good experience if. You. Will ask me,5
nothing to say🤣👻,1
I downloaded this app and it keeps saying can't verify the number please download the official app.,1
👍👍,5
very crazy,5
nice,5
bahut achcha,5
",,, ❤️❤️",5
sir kisi ka Instagram hide ho koi aagar use whatsapp se open kare to wo bina password ke q open ho raha hai,1
Good ☺️,2
account in review emergency unban request ma number is banned from watspp kindly requested it,5
Best 👌,5
Fail to install WhatsApp,5
slow,2
nice app,5
Everything about this WhatsApp is super sweet and spicy and easy as well 😚🥰🙂🙃,5
"How to register your account with a phone call If you choose to verify your number with a phone call, you can either receive a missed call or a voice call from WhatsApp. Note: Verify your number with a missed call is only available on Android. Register with a voice call Tap Voice Call on the registration screen in WhatsApp. You’ll receive a call from us. Answer the call and you’ll get an automated message with a unique code. Enter the code when prompted to complete registration. Register wit",5
Open whatsapp,5
Love voice messaging and video calls.,5
activated the aplication,5
nice,5
ok a,5
Nice,4
Best app 😭😭,5
It is a good app,5
Excellent app,5
Very good to use,5
problem solve nahi hoo raha hai,5
taligram is bast,1
WhatsApp open nahin ho raha hai,5
nah good app wey I dey chat my friends and family member,5
"Whatsapp is a very very perfect app Well designed, every thing about it is very perfect, that's why I give it a 5 rate. But sincerely i would really appreciate If this App can be re-design in a way that if my read reciept is off, no one can see when I view their status but I should be able to see those who view mine including those who like it and those who do not",5
music suggestion is too bad..,3
very reliable,5
Good,5
It's really great...!!,5
great 🤩,5
it a good app thank you,5
Good to used,5
Harassment,5
remove the block option,5
When I use this app for 10 days messages will pause Iand it may create a big trouble please solve this problem,1
I want an update,1
i hate this new version of this WhatsApp because I just don't understand.. why banding my number from using WhatsApp when I didn't commit any offense or go against the guidelines? not even ones you did this over and over again why.. and I have lots of things I'm doing there why banding my WhatsApp number for no reason why.. I just messaged my own fellow friend in same region with me and suddenly y'all banded my number even when I try to review still no way . hummm,1
Good app to be presided it has helped me helpless,5
Excellent,5
😌😌is good,5
excellent and very good,5
"there is a phone number for metaverse support in California, but the automated answer says it does not provide any support you must find help online... 🫣👎🥵 Mark Zuckerberg, since purchasing WhatsApp has totally destroyed it ! 🤬💭👍 I have tried several times downloading WhatsApp from the Google Play store to activate it on my new smartphone.🤳📲 It keeps failing to activate every time asking me to verify my phone number, to send a SMS code; then the app rapidly changes to download again 🤬",1
Excellent,5
don't show the live location,1
plz download the WhatsApp,5
Best,5
I once had an account but after they reviewed my account it is refusing to verify my number it's giving problems,2
Awesome,5
nice 🙂,5
WhatsApp is a very good app because It is one of the best app for chatting and doing video call.,4
dih,5
WhatsApp is the best and free for communications,5
interesting,5
it's wow because of its good features,5
this is amazing app,5
can't find all the music i want,2
no Google account it sucks,1
good,5
nice,5
bad,1
very nice,5
best,5
nice,5
Please add a 'Constant' or 'Indefinite' option for the About section. I don't want my profile bio to expire every month,5
I Want To Upgrade My WhatsApp Right Now Please And Thank You,5
♥️,5
My whatsapp update,5
فى options كتيرة ناقصة فى الواتس المنافسين بيعملوها زى الرسائل المجدولة و زى انى اقدر ارفع اللى عايزه و اقدر امسح الملف من الجهاز و بعدين لو حبيت انزله تانى ينزل عادى مش يقولى فشل فى عملية التحميل. و حاجات زى انى اكتب محتوى الرسائل الصوتية بالعربى. يا ريت تركزوا على الحاجات ديه.,1
best app to chatting,4
Most helpful app,5
I like the app but it is slow in installing,2
like,4
excellent,5
good its also convince to use it,5
It is excalen,5
why my account is bane,1
to stop suspended my WhatsApp account,5
perfect,5
I love this app,3
timed out for 20h just trying to make first call,1
Good,5
My whatsap is ban,5
Nice app,5
its so nice yousing whatssap,5
👍,5
Iit seems like just another way that someone can access your information and make it appear as it was you or is you don't trust the app if I could give it no stars I would,1
Nzuzo enhle,5
i like It's,5
I'm downloading it it's saying pending from 7 like u guyz serious,5
Funny,5
very bad high lag,1
love you 😈,5
very good experience and good app,5
WhatsApp has been giving me issues for the past 1 year now and am not happy Once I open WhatsApp within a day it will be banned 🚫 and I've tried to change email too same thing It's really not okay but it's well I would have posted one that happened yesterday a very solid evidence but it's well,1
best,5
খুব ভালো,5
"I think this app is amazing and it is every fast and easy to use, I think it's awesome and interesting",5
wonderful,5
good,2
Cant live without it,5
Awesome,5
exceptional,5
verify my number,1
chat is funtastic anvery good disition for WhatsApp,5
Works great on mobile. But Windows PC app needs to be logged in each session. Could VPN use be why? Does device name in mobile have to match PC device name?,1
"Good app, love it",4
good 100%,5
good,5
Mito,5
👍,5
good 👍,5
My account is being bunned every day I don't know why,5
this app is very good and useful,5
badhiyaaaa,5
waste,1
super,5
good,5
excellent,5
"this is so great, cool and super",5
"Extremely disappointed. WhatsApp Channels is unsafe for admins. There is NO feature to remove or block specific followers, allowing stalkers to monitor our updates without any way to stop them. I've reported this, but I only received useless AI bots. Privacy is a fundamental right, not a luxury. Add the 'Block/Remove Follower' feature immediately for user safety!",1
nice one,5
great,5
👍,5
👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻👌🏻,5
full bug meta crash,1
very efficient,5
very best,5
Bohat achi,2
waho Kya wat sap ha,5
WhatsApp video quality should be improved.,4
Perfect,5
actually it's a good app👍,5
beautiful,5
Exceptional,4
good 👍,5
Whatsapp is the best it has no issues the only thing is that it requires too much update which by any way can affect your account. I rate it 5 star for dat,5
very good,5
I a. using it,4
"The worst possible web wrapper app for a laptop user. Truly shameful from such a big company with huge amounts of funding, clearly they do not care",1
Nice awesome true cool love it,5
wow nice 👍,5
not opening 😭,1
Allah is king 👑👑💖💖,5
